Date,Open,High,Low,Close,Volume,Market Cap
29-Nov-21,"$4,296.95 ","$4,460.85 ","$4,284.50 ","$4,445.11 ","$19,086,475,837 ","$526,931,291,117 "
30-Nov-21,"$4,447.77 ","$4,753.27 ","$4,358.07 ","$4,631.48 ","$28,626,354,111 ","$549,085,770,691 "
01-Dec-21,"$4,623.68 ","$4,780.73 ","$4,530.27 ","$4,586.99 ","$27,634,826,695 ","$543,871,223,795 "
02-Dec-21,"$4,586.33 ","$4,628.92 ","$4,441.51 ","$4,511.30 ","$21,502,671,027 ","$534,956,208,694 "
03-Dec-21,"$4,514.36 ","$4,647.29 ","$4,100.15 ","$4,220.71 ","$25,879,591,528 ","$500,552,313,217 "
04-Dec-21,"$4,227.76 ","$4,242.73 ","$3,525.49 ","$4,119.59 ","$38,478,999,182 ","$488,613,645,062 "
05-Dec-21,"$4,119.63 ","$4,246.92 ","$4,040.22 ","$4,198.32 ","$25,533,062,707 ","$498,007,875,686 "
06-Dec-21,"$4,199.00 ","$4,375.52 ","$3,930.81 ","$4,358.74 ","$28,229,518,513 ","$517,093,472,536 "
07-Dec-21,"$4,358.59 ","$4,428.59 ","$4,264.32 ","$4,315.06 ","$22,366,213,354 ","$511,968,714,781 "
08-Dec-21,"$4,311.67 ","$4,453.11 ","$4,234.54 ","$4,439.36 ","$18,704,315,119 ","$526,774,233,712 "
09-Dec-21,"$4,433.03 ","$4,482.31 ","$4,078.84 ","$4,119.82 ","$22,296,131,874 ","$488,911,369,093 "
10-Dec-21,"$4,113.59 ","$4,227.11 ","$3,897.77 ","$3,908.50 ","$28,014,595,631 ","$463,886,245,130 "
11-Dec-21,"$3,909.67 ","$4,095.65 ","$3,846.05 ","$4,084.45 ","$19,131,502,454 ","$484,824,810,240 "
12-Dec-21,"$4,084.81 ","$4,173.61 ","$3,993.06 ","$4,134.45 ","$14,057,603,914 ","$490,816,832,310 "
13-Dec-21,"$4,136.36 ","$4,145.96 ","$3,680.61 ","$3,784.23 ","$23,999,841,386 ","$449,291,443,953 "
14-Dec-21,"$3,782.82 ","$3,866.63 ","$3,700.10 ","$3,745.44 ","$23,836,759,957 ","$444,724,220,347 "
15-Dec-21,"$3,862.25 ","$4,086.37 ","$3,664.72 ","$4,018.39 ","$26,411,188,833 ","$477,201,243,362 "
16-Dec-21,"$4,020.41 ","$4,110.37 ","$3,956.06 ","$3,962.47 ","$19,825,531,254 ","$470,613,962,761 "
17-Dec-21,"$3,959.01 ","$3,992.79 ","$3,711.42 ","$3,879.49 ","$23,143,541,098 ","$460,810,766,341 "
18-Dec-21,"$3,880.29 ","$3,993.83 ","$3,774.62 ","$3,960.86 ","$19,530,895,889 ","$470,530,555,466 "
